time [Yr]               Velocity [AU]
0.0                     2.903324927584754e-07
0.0033334444481482716   8.308097760265147e-07
0.006666888896296543   3.5586717143730244e-07
0.010000333344444815    3.029092281422955e-07
0.013333777792593086   3.8277349504284425e-07
0.01666722224074136    2.8211671709005934e-07
0.02000066668888963    3.3418088309838724e-07
0.0233341111370379      6.925749396168254e-07
0.026667555585186173   4.3000891648433445e-07
0.030001000033334446   2.5742069702032707e-07
0.03333444448148272     2.485975591642964e-07
0.036667888929630986   2.2587749126471247e-07
0.04000133337777926     6.780949942505326e-08
0.04333477782592753    -6.783177427689382e-08
0.0466682222740758     2.0912544390501413e-07
0.05000166672222407     4.004881034525481e-07
0.053335111170372346    3.885712958545449e-08
0.05666855561852062    2.1231606332932328e-07
0.06000200006666889    -1.4853536603986969e-07
0.06333544451481717    3.4379620548322805e-07
0.06666888896296544     3.167107131758531e-07
0.0700023334111137     4.3473049676357307e-07
0.07333577785926197      4.85250218721774e-08
0.07666922230741025     2.984478929733958e-07
0.08000266675555852    2.1190399257188818e-07
0.08333611120370679     6.116783000251082e-07
0.08666955565185507    1.6582471653943142e-07
0.09000300010000334     3.743031551773063e-07
0.0933364445481516     4.0845346027360306e-07
0.09666988899629987    2.4761784410779527e-07
0.10000333344444814       8.7012691986281e-07
0.10333677789259642     2.655252490525361e-07
0.10667022234074469      7.97351067004507e-08
0.11000366678889296     6.677858871047925e-08
0.11333711123704124    2.1263751229790806e-07
0.11667055568518951     2.695965379685651e-07
0.12000400013333778    1.7566903292439844e-07
0.12333744458148604     8.711638106003579e-07
0.12667088902963433     9.091730769995939e-07
0.1300043334777826     2.1387107041002386e-07
0.13333777792593088     3.700333409238253e-07
0.13667122237407914     5.190309839331193e-07
0.1400046668222274     -2.3081570720286533e-08
0.14333811127037568    2.2531834244130263e-07
0.14667155571852394    2.2808429437164603e-07
0.15000500016667223     4.197962385621303e-07
0.1533384446148205      2.071272640559587e-07
0.15667188906296878     3.574714968159525e-07
0.16000533351111704    4.6590020076023806e-07
0.1633387779592653     3.7279275178770064e-07
0.16667222240741358     6.840181168590111e-07
0.17000566685556184      5.00934229912476e-07
0.17333911130371013    3.9895112791516046e-07
0.1766725557518584      2.258510485049044e-07
0.18000600020000668     5.735479163599712e-07
0.18333944464815494     4.585248203228226e-07
0.1866728890963032     2.9636159038733883e-07
0.19000633354445148     2.543269193555211e-07
0.19333977799259974    -1.7597602105640968e-07
0.19667322244074803     4.284236192182611e-07
0.2000066668888963     -1.0111795627174955e-07
0.20334011133704458      5.56408544263144e-07
0.20667355578519284    2.0184778430194563e-07
0.21000700023334112    2.1455319086965455e-07
0.21334044468148938     6.065974722922615e-07
0.21667388912963764    -7.206922543396312e-08
0.22000733357778593    3.2824970453946266e-08
0.2233407780259342      9.246106578402097e-08
0.22667422247408248     6.300072897982218e-07
0.23000766692223074    3.3439763337300405e-07
0.23334111137037902    -4.289331734544428e-08
0.23667455581852728     8.441589674339299e-08
0.24000800026667557     5.241280395333463e-07
0.24334144471482383    2.5870007396152454e-07
0.2466748891629721     4.4887501069823767e-07
0.25000833361112035    1.5415077315942644e-07
0.25334177805926866     3.073983851071089e-07
0.2566752225074169     1.7201578079804595e-07
0.2600086669555652     3.4115534420911826e-07
0.26334211140371344    2.3055869987258244e-07
0.26667555585186176    1.7848041667252181e-07
0.27000900030001       2.1842270372574403e-07
0.2733424447481583      7.560835100645294e-07
0.27667588919630653    4.1555348262385265e-07
0.2800093336444548      4.989761980636767e-08
0.2833427780926031      3.947144839920242e-07
0.28667622254075137    -1.217739278900283e-07
0.29000966698889963     3.599304639836641e-07
0.2933431114370479      3.321013809956975e-07
0.29667655588519615     4.225937515735569e-07
0.30001000033334446     5.527623861433791e-07
0.3033434447814927     5.6075002552201304e-08
0.306676889229641        1.46437175638271e-07
0.31001033367778924    2.2250002434609424e-07
0.31334377812593756     -5.96520830415725e-08
0.3166772225740858     4.3572388757711103e-07
0.3200106670222341       1.95618775737588e-07
0.32334411147038233     6.796216272542931e-07
0.3266775559185306      7.324229824488285e-07
0.3300110003666789      6.147398676343858e-07
0.33334444481482717    1.7597501073273892e-07
0.3366778892629754      2.009573780424455e-07
0.3400113337111237      8.602288641850173e-07
0.343344778159272      2.0692962372238037e-07
0.34667822260742026     2.988639729529059e-07
0.3500116670555685      3.937349194581667e-07
0.3533451115037168      5.604220606066267e-07
0.35667855595186504    2.6795160502017274e-07
0.36001200040001335     5.769580644520298e-07
0.3633454448481616     2.2131513133024085e-07
0.3666788892963099     -2.976751502296121e-07
0.37001233374445813    1.1357732142135438e-07
